18, 20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17
19, 1,  18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 99
19, 8,  2,  18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 99
19, 14, 15, 3,  18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18,18, 18, 18, 18, 17, 17
19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18,  18, 1,  2,  2,  3, 17, 17
19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 1,  2,  2,   2,  2,  9,  9, 10, 17, 17
19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 1,  9,  10, 18, 18, 18, 18, 18, 18, 17, 17
19, 18, 18, 18, 18, 1,  2,  3,  18, 14, 2,  9,  9,  10, 18, 18, 18, 18, 18, 18, 17, 17
19, 18, 18, 18, 7,  18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17
19, 18, 4,  6,  18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17
11, 2,  2,  2,  2,  2,  2,  50,  50, 50, 2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 17
9,  9,  9,  9,  9,  9,  9,  18,  18, 18, 9,  9,  9,  9,  9,  9,  9,  9,  9,  9, 17, 17
