0,  20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21
0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  17, 17
19, 1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  99
19, 8,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  99
19, 14, 15, 3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  17, 17
19, 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  2,  3,  17, 17
19, 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  2,  2,  2,  2,  9,  9,  10, 17, 17
19, 0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  9,  10, 0,  0,  0,  0,  0,  0,  17, 17
19, 0,  0,  0,  0,  1,  2,  3,  0,  14, 2,  9,  9,  10, 0,  0,  0,  0,  0,  0,  17, 17
19, 0,  0,  0,  7,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  17, 17
19, 0,  4,  6,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  17, 17
11, 18, 18, 18, 18, 18, 18, 18, 18, 18, 2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  17
9, 50, 50,  50, 50,  50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50,  17, 17
