18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17
19,1,2,3,18,18,18,1,2,3,18,18,18,18,18,18,18,18,18,18,17,17
19,8,9,10,1,2,3,8,9,10,18,1,18,3,18,18,18,18,18,18,17,17
19,14,15,16,8,9,10,14,15,16,18,8,2,10,18,18,18,18,18,18,17,17
19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,2,3,18,17,17
19,18,18,18,18,18,18,18,18,18,18,18,1,2,2,2,8,9,10,18,17,17
19,18,18,18,18,18,18,18,18,7,18,1,9,10,18,18,18,18,18,18,17,17
19,18,18,18,18,18,1,2,2,14,2,8,9,10,18,18,18,18,18,18,17,17
19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17
19,18,18,7,7,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17
11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17
